분야,질문명,등록일,답변제목,답변등록일,댓글등록일,댓글등록자,댓글내용
노사협력(노사·근로),"노조법 위반 사건 고소, 고발 주체에 관한 문의",2017-06-19 17:44:01.0,"[답변] 노조법 위반 사건 고소, 고발 주체에 관한 문의",2017-06-20 13:10:54.0,,,
공공노사(근로),산재요양 중인 근로자에 대한 고용승계,2017-07-19 14:35:59.0, [답변] 산재요양 중인 근로자에 대한 고용승계,2017-07-20 10:02:36.0,,,
노사협력(노사·근로),단체협약 열람 및 게시 관련 문의,2018-03-27 10:38:46.0,답,2018-03-28 10:30:41.0,,,
노사협력(노사·근로),필수유지업무관련 문의 드립니다,2019-01-25 10:50:53.0,참고만 해주시길 바랍니다(항공안전 및 물류 관련),2019-02-01 17:33:14.0,,,
노사협력(노사·근로),연차휴가 대체사용에 대한 질문,2019-04-29 11:24:48.0,해결 방안,2019-04-29 13:59:26.0,,,
노사협력(노사·근로),산별노조 탈퇴 후 기업별 노조 설립 가능 여부 및 단체협약 유효 여부 문의드립니다.,2019-09-26 17:23:25.0,참고,2019-09-26 20:51:20.0,,,
노사협력(노사·근로),단체협약 신고 관할 행정관청 문의,2020-02-17 17:58:02.0,의견,2020-02-18 15:43:23.0,,,
노사협력(노사·근로),단체협약 신고 관할 행정관청 문의,2020-02-17 17:58:02.0,사업(장) 소재지 관할 지방노동관서,2020-06-19 14:01:30.0,,,
노사협력(노사·근로),단체협약에 따라 지급되는 근무복이 복리후생비에 해당하는지 여부....,2020-03-19 17:48:27.0,의견,2020-03-20 09:45:28.0,,,
노사협력(노사·근로),단체협약 위반이 처벌 대상 관련 질의,2020-04-06 14:43:11.0,의견,2020-04-07 09:02:15.0,,,
노사협력(노사·근로),단체협약 위반이 처벌 대상 관련 질의,2020-04-06 14:43:11.0,의견,2020-04-07 10:26:45.0,,,
노사협력(노사·근로),단체협약 위반이 처벌 대상 관련 질의,2020-04-06 14:43:11.0,참고,2022-04-06 16:16:45.0,,,
노사협력(노사·근로),교섭단위의 통합에 대한 질의,2020-04-20 14:16:38.0,의견,2020-04-20 17:35:25.0,,,
노사협력(노사·근로),교섭단위의 통합에 대한 질의,2020-04-20 14:16:38.0,의견,2020-04-21 10:22:12.0,,,
노사협력(노사·근로),해고예고수당의 압류금지채권 여부,2021-02-19 23:11:21.0,답변,2021-02-20 09:42:29.0,,,
노사협력(노사·근로),해고예고수당의 압류금지채권 여부,2021-02-19 23:11:21.0,의견,2021-02-22 11:32:12.0,,,
노사협력(노사·근로),해고예고수당의 압류금지채권 여부,2021-02-19 23:11:21.0,노조법상 단협위반여부....,2021-02-26 13:03:45.0,,,
노사협력(노사·근로),해고예고수당의 압류금지채권 여부,2021-02-19 23:11:21.0,참고,2022-04-06 17:23:56.0,,,
노사협력(노사·근로),노동조합 회계감사원 사건 관련입니다.,2021-03-25 16:09:39.0,의견,2021-03-26 00:50:28.0,2022-04-06 17:04:44.0,,"집안사정이라는 것에 동의합니다. 
근로감독관이 개입할 문제는 아닌 것 같습니다."
노사협력(노사·근로),노동조합 회계감사원 사건 관련입니다.,2021-03-25 16:09:39.0,회계감사원...,2021-04-05 12:09:07.0,,,
노사협력(노사·근로),노동조합 회계감사원 사건 관련입니다.,2021-03-25 16:09:39.0,결산결과와 관련된 사항,2021-04-14 15:45:34.0,,,
노사,노사협의회 설치(30인 미만 사업장),2021-04-13 10:40:00.0,의견,2021-04-13 15:41:31.0,,,
노사,노사협의회 설치(30인 미만 사업장),2021-04-13 10:40:00.0,노사협의회 설치의무...,2021-04-22 11:53:40.0,,,
노사,조합원 제명에 따른 시정명령 요청 관련 질문,2021-06-08 08:57:02.0,의견,2021-06-08 14:40:34.0,,,
노사,조합원 제명에 따른 시정명령 요청 관련 질문,2021-06-08 08:57:02.0,시정명령...,2021-06-09 18:02:29.0,2021-06-11 10:28:29.0,,"ㅇ 규약상 징계양형 자체를 규약위반으로 볼 수는 없고,
  - 행정관청은 신청인이 주장하는 규약위반에 대한 구체적인 사실내용 및 그 이유 등을 상세히 조사하고, 규약위반 인정여부를 판단하여야 합니다. 끝."
노사,조합원 제명에 따른 시정명령 요청 관련 질문,2021-06-08 08:57:02.0,시정명령...,2021-06-09 18:02:29.0,2021-06-10 15:13:54.0,,"규약상 징계의 종류가 경고, 정권, 제명 세 가지로 되어 있는데, 어떤 경우에 어떤 징계를 받는지 구체적인 이유는 제기되지 않은 상황에서(즉, 처분권자의 재량 영역),
징계가 과하는지 여부(양형)를 규약위반으로 보고 판단 가능할지 감독관님의 견해 부탁드리겠습니다."
노사,조합원 제명에 따른 시정명령 요청 관련 질문,2021-06-08 08:57:02.0,참고,2022-04-06 16:54:41.0,,,
노사협력(노사·근로),사내근로복지기금에서 기부금수익이 제3자출연인지에 관련해서 문의드립니다.,2021-06-11 11:02:11.0,기금 출연....,2021-06-11 12:58:15.0,,,
노사협력(노사·근로),정보공개 가능여부,2021-11-11 16:07:57.0,의견,2021-11-11 20:42:37.0,,,
노사협력(노사·근로),정보공개 가능여부,2021-11-11 16:07:57.0,정보공개...,2021-11-15 09:59:19.0,,,
공공노사(근로),인허가(취업규칙) 관련 문의 드립니다.,2022-02-17 16:52:42.0,의견,2022-02-17 17:01:12.0,2022-02-21 10:28:23.0,,~ 동의하에 ~ 할수있다로 변경명령 요청 드리는게 맞을것 같네요. 감사합니다 ^^ 
공공노사(근로),인허가(취업규칙) 관련 문의 드립니다.,2022-02-17 16:52:42.0,의견,2022-02-17 17:08:59.0,2022-02-21 10:28:47.0,,의견 감사합니다. 잘 반영해서 변경명령 하도록 하겠습니다!
공공노사(근로),인허가(취업규칙) 관련 문의 드립니다.,2022-02-17 16:52:42.0,의견입니다.,2022-02-17 17:30:16.0,2022-02-21 10:29:16.0,,적정반영하여 변경명령 할 수 있도록 하겠습니다. 감사합니다^^ 
공공노사(근로),인허가(취업규칙) 관련 문의 드립니다.,2022-02-17 16:52:42.0,의견,2022-03-29 09:27:10.0,,,
노사,교섭대표 노조와 일반적 구속력,2022-04-29 13:18:16.0,의견,2022-04-29 15:37:58.0,,,
노사협력(노사·근로),사내근로복지기금법인 운용 협의에 대해 문의드립니다.,2022-05-10 10:16:16.0,의견입니다.,2022-05-10 13:13:41.0,,,
노사협력(노사·근로),사내근로복지기금법인 운용 협의에 대해 문의드립니다.,2022-05-10 10:16:16.0,근로복지기금 관련 매뉴얼입니다,2022-05-11 09:30:29.0,,,
노사협력(노사·근로),부당노동행위 미수범 처벌 관련,2022-05-18 09:14:53.0,의견,2022-05-18 10:53:10.0,2022-05-23 11:18:35.0,,"형법상 미수범으로 처벌하려면 죄형법정주의에 따라 미수규정이 있어야 합니다. 
따라서 부당노동행위 미수범 처벌은 불가능합니다
ex) 살인미수죄는 있어도 손괴 미수죄는 없습니다.

또한, 부노 제81조제1항제1호 성립은 불이익취급이라는 결과 발생을 요건으로 하여 실제 업무분장이 변경되지 않았다면 부노처벌이 불가능하며
다만, 제81조제1항4호에 따른 지배개입은 결과발생을 요하지 않으니 가능할 것으로 보입니다. "
노사협력(노사·근로),"노동조합 가입, 탈퇴 시점 및 징계 등 관련 질문드립니다.",2022-06-21 14:51:19.0,의견,2022-06-21 17:51:00.0,,,
노사협력(노사·근로),단체협약 효력 확장(일반적 구속력 실효 시 적용되는 근로조건 ),2022-08-31 18:45:38.0,단체협약의 일반적 구속력...,2022-12-01 13:15:33.0,,,
노사협력(노사·근로),단체협약 신고 관련 문의 드립니다,2023-01-05 16:44:43.0,답변드립니다,2023-01-06 08:28:31.0,2023-01-10 15:35:07.0,,"답글을 늦게 보았습니다. 근로조건(규범적, 채무적)의 총체라고 볼 수 있는 단협을 단절없이 적용하기 위해 단협 만료일 다음 날을 유효기간으로 정하고 있는 것으로 보입니다. 유효기간 시작일을 7.25로 보셔도 무방할 듯싶습니다."
노사협력(노사·근로),단체협약 신고 관련 문의 드립니다,2023-01-05 16:44:43.0,답변드립니다,2023-01-06 08:28:31.0,2023-01-06 09:08:16.0,,"추가질문) 단체협약 본문에 최초협약 체결일은 2014년 7월 25일 기준으로 한다라고 되어있습니다.
위와 같은 경우 -> 2022년 12월 27일 단협을 체결했으니 2022년 7월 25일로 유효기간 시작일로 봐도 무방한 건지 여쭤보고 싶습니다. "
노사협력(노사·근로),단체협약 신고 관련 문의 드립니다,2023-01-05 16:44:43.0,답변드립니다,2023-01-06 08:28:31.0,2023-01-06 08:55:45.0,,정말 감사합니다. 좋은 하루 되십시오 
노사협력(노사·근로),주휴수당 발생여부,2024-02-08 11:24:51.0,두가지로 해석이 가능할 것 같습니다 (개인 의견),2024-02-08 13:25:52.0,,,
노사협력(노사·근로),주휴수당 발생여부,2024-02-08 11:24:51.0,개별 의견이므로 참고만 하세요,2024-02-13 09:40:02.0,,,
노사,노동조합법 및 근로자참여법 관련 질의드립니다.,2024-03-03 21:51:23.0,의견,2024-03-04 09:08:49.0,,,
노사,노동조합법 및 근로자참여법 관련 질의드립니다.,2024-03-03 21:51:23.0,의견 드립니다.,2024-03-04 09:52:53.0,2024-03-04 10:00:06.0,,"공공기관의 무기계약직에서 전환된 일반직과 기존의 일반직은 본질적으로 동일한 비교집단에 속해 있다고 볼 수 없고, 차등 호봉 부여에는 합리적인 이유가 있다
사건번호 : 서울고법 2022나2041172,  선고일자 : 2023-10-13

위 기간제와 무기계약직 간의 동종근로자를 부인하는 사례를 준용하면 될 것 같습니다."
공공노사(근로),서약서 효력여부,2024-04-15 17:42:42.0,개인 의견입니다.,2024-04-16 09:04:26.0,2024-04-16 10:45:04.0,,"내용이 너무 구체적으로 옥죄는 것 같아서 서약서 자체가 위반이 아닐까 고민해보았습니다.
이런내용은 취업규칙등에 기재되어야 하고, 징계중 가장 높은 해고나 진배없는 중도근로계약해지에 관련 된 것과 연관되어 있는 서약서를 적게 하는게 좋아보이지 않아서 징계양정의 문제여서 너무 과한것으로 보았습니다.

감사합니다. "
공공노사(근로),서약서 효력여부,2024-04-15 17:42:42.0,개인 의견입니다.,2024-04-16 09:04:26.0,2024-04-16 09:36:52.0,,"동의합니다. 
사회생활하는 성인이 내용도 읽지 않고 서명했다고 해서 
나중에 그 법적 효력을 부인한다는 것은 받아들일 수 없죠
애도 아니고 
대출증서에 싸인해 놓고 나중에 부인하면 아 그렇구나 하고 빚 면제해 주진 않잖아요"
노사,노동조합규약 및 단체협약상 조합원 가입범이가 상이할 시,2024-05-12 20:51:31.0,의견,2024-05-13 09:21:51.0,,,
노사,노동조합규약 및 단체협약상 조합원 가입범이가 상이할 시,2024-05-12 20:51:31.0,개별 의견이므로 참고만 하세요,2024-05-13 10:51:05.0,,,
노사,단체협약 위반 여부,2024-05-27 15:33:02.0,의견,2024-05-27 16:55:07.0,,,
노사,단체협약 위반 여부,2024-05-27 15:33:02.0,개별 의견이므로 참고만 하세요,2024-05-28 08:37:54.0,,,
노사,단체협약 위반 여부,2024-05-27 15:33:02.0,의견입니다.,2024-05-28 08:56:21.0,,,
노사,교섭대표 노조 지위 유지 기간 중 새로운 노조가 생긴 경우,2024-06-04 15:22:59.0,개별 의견이므로 참고만 하세요,2024-06-04 16:37:03.0,,,
노사협력(노사·근로),임금체불 여부,2024-07-12 08:33:24.0,개별 의견이므로 참고만 하세요,2024-07-12 09:11:24.0,,,
노사협력(노사·근로),임금체불 여부,2024-07-12 08:33:24.0,실업급여 부정수급과 관련하여,2024-07-12 09:51:49.0,,,
노사협력(노사·근로),"최저임금에 미달하지 않지만 통상임금이 상당히 낮은 경우 (트레이너, 기본급 + 실적급)",2024-07-22 16:11:28.0,개별 의견이므로 참고만 하세요,2024-07-23 07:33:29.0,,,
공공노사(근로),신설노조의 단체교섭요구권 관련질의입니다.,2024-10-03 23:51:04.0,의견,2024-10-04 02:33:35.0,2024-10-04 09:09:01.0,,"정리하건대, 노조법에 따라 2개 이상의 노조가 존재하는 사업장에서 창구단일화를 걸쳐 교섭대표노조가 출범하였다면, 교섭대표노조 지위 유지기간 동안은 신설노조의 교섭요구에 응할 이유는 없다고 할 것입니다."
노사,소속 근로자 노조위원장 여부,2024-12-16 16:32:44.0,노동조합의 형태가 다양하다는 걸 인지하셔야 합니다,2024-12-16 18:02:03.0,,,
노사,퇴사 후 36조 및 43조 동시 처벌 가능 여부 문의,2025-01-04 14:39:29.0,의견,2025-01-05 19:34:25.0,,,
노사,퇴사 후 36조 및 43조 동시 처벌 가능 여부 문의,2025-01-04 14:39:29.0,동시 처벌 가능합니다.,2025-01-06 17:34:31.0,,,
